SQL SELECT ,SELECT ,,,,,,,,,,,,,
"SQL 'Ealing Council' AS 'Body Name',","'Ealing Council' AS 'Body Name',",,,,,,,,,,,,,
"SQL 'http://opendatacommunities.org/id/london-borough-council/ealing' AS 'Organisation Code',","'http://opendatacommunities.org/id/london-borough-council/ealing' AS 'Organisation Code',",,,,,,,,,,,,,
"SQL da.description AS 'Service Label',","da.description AS 'Service Label',",,,,,,,,,,,,,
"SQL da.dim_value AS 'Service Code',","da.dim_value AS 'Service Code',",,,,,,,,,,,,,
"SQL db.description AS 'Organisation Unit',","db.description AS 'Organisation Unit',",,,,,,,,,,,,,
SQL CASE,CASE,,,,,,,,,,,,,
SQL     WHEN dc.account = '2970',    WHEN dc.account = '2970',,,,,,,,,,,,,
SQL     THEN 'Services Contracts Agency Interim Consultants',    THEN 'Services Contracts Agency Interim Consultants',,,,,,,,,,,,,
SQL     WHEN dc.account = '2960',    WHEN dc.account = '2960',,,,,,,,,,,,,
SQL     THEN 'Services Contracts Agency Interim Consultants',    THEN 'Services Contracts Agency Interim Consultants',,,,,,,,,,,,,
SQL     ELSE dc.description,    ELSE dc.description,,,,,,,,,,,,,
"SQL END AS 'Expenditure Category',","END AS 'Expenditure Category',",,,,,,,,,,,,,
"SQL dc.account AS 'Expenditure Code',","dc.account AS 'Expenditure Code',",,,,,,,,,,,,,
"SQL '' AS 'Narrative',","'' AS 'Narrative',",,,,,,,,,,,,,
"SQL t.voucher_date AS 'Date',","t.voucher_date AS 'Date',",,,,,,,,,,,,,
"SQL t.voucher_no AS 'Transaction No',","t.voucher_no AS 'Transaction No',",,,,,,,,,,,,,
"SQL t.amount AS 'Net Amount',","t.amount AS 'Net Amount',",,,,,,,,,,,,,
"SQL t.apar_id AS 'Supplier ID',","t.apar_id AS 'Supplier ID',",,,,,,,,,,,,,
"SQL s.apar_name AS 'Supplier Name',","s.apar_name AS 'Supplier Name',",,,,,,,,,,,,,
"SQL r.rel_value AS 'Relation',","r.rel_value AS 'Relation',",,,,,,,,,,,,,
SQL CASE ,CASE ,,,,,,,,,,,,,
SQL     WHEN dc.account = '2840' and r.rel_value = 'Y',    WHEN dc.account = '2840' and r.rel_value = 'Y',,,,,,,,,,,,,
SQL     THEN 'BARRISTER',    THEN 'BARRISTER',,,,,,,,,,,,,
SQL     WHEN r.rel_value = 'Y' ,    WHEN r.rel_value = 'Y' ,,,,,,,,,,,,,
SQL     THEN 'REDACTED SENSITIVE SUPPLIER',    THEN 'REDACTED SENSITIVE SUPPLIER',,,,,,,,,,,,,
SQL WHEN s.apar_once = '1' ,WHEN s.apar_once = '1' ,,,,,,,,,,,,,
SQL then a.apar_name,then a.apar_name,,,,,,,,,,,,,
SQL     ELSE s.apar_name,    ELSE s.apar_name,,,,,,,,,,,,,
"SQL END AS 'Amended Supplier Name',","END AS 'Amended Supplier Name',",,,,,,,,,,,,,
SQL t.dim_1 AS 'Cost Centre',t.dim_1 AS 'Cost Centre',,,,,,,,,,,,,
SQL FROM agltransact t,FROM agltransact t,,,,,,,,,,,,,
SQL LEFT OUTER JOIN acrtrees tr on t.dim_1 = tr.cat_1 and tr.att_agrid = '88' and tr.client ='EC',LEFT OUTER JOIN acrtrees tr on t.dim_1 = tr.cat_1 and tr.att_agrid = '88' and tr.client ='EC',,,,,,,,,,,,,
SQL LEFT OUTER JOIN agldimvalue da ,LEFT OUTER JOIN agldimvalue da ,,,,,,,,,,,,,
SQL on da.client = t.client and tr.dim_a = da.dim_value and da.attribute_id = '08',on da.client = t.client and tr.dim_a = da.dim_value and da.attribute_id = '08',,,,,,,,,,,,,
SQL LEFT OUTER JOIN agldimvalue db,LEFT OUTER JOIN agldimvalue db,,,,,,,,,,,,,
SQL on db.client = t.client and tr.dim_c = db.dim_value and db.attribute_id = '10',on db.client = t.client and tr.dim_c = db.dim_value and db.attribute_id = '10',,,,,,,,,,,,,
SQL LEFT OUTER JOIN aglaccounts dc,LEFT OUTER JOIN aglaccounts dc,,,,,,,,,,,,,
SQL on dc.client = t.client and dc.account = t.account  ,on dc.client = t.client and dc.account = t.account  ,,,,,,,,,,,,,
SQL LEFT OUTER JOIN asuheader s,LEFT OUTER JOIN asuheader s,,,,,,,,,,,,,
SQL on s.client = t.client and s.apar_id = t.apar_id,on s.client = t.client and s.apar_id = t.apar_id,,,,,,,,,,,,,
SQL LEFT OUTER JOIN aglrelvalue r,LEFT OUTER JOIN aglrelvalue r,,,,,,,,,,,,,
SQL on r.client = t.client and r.att_value = t.apar_id and r.rel_attr_id = 'PU',on r.client = t.client and r.att_value = t.apar_id and r.rel_attr_id = 'PU',,,,,,,,,,,,,
SQL left outer join asuhistr h on h.client = t.client and h.apar_id = t.apar_id and h.voucher_no = t.voucher_no and h.ext_inv_ref = t.ext_inv_ref,left outer join asuhistr h on h.client = t.client and h.apar_id = t.apar_id and h.voucher_no = t.voucher_no and h.ext_inv_ref = t.ext_inv_ref,,,,,,,,,,,,,
